ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL3098829,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccccc1,active,4890.0,5.310691140876379
CHEMBL402759,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,55.0,7.259637310505756
CHEMBL254171,O=C(Cc1ccc(-c2ccncc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,1400.0,5.853871964321762
CHEMBL402370,O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,3870.0,5.412289034981089
CHEMBL402157,O=C(Cc1ccc(Cl)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,1500.0,5.823908740944319
CHEMBL258040,O=C(Cc1ccc(N2CCCCC2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,1100.0,5.958607314841775
CHEMBL254979,O=C(Cc1ccc2ccccc2c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,90.0,7.045757490560675
CHEMBL254367,O=C(Cc1cccc2ccccc12)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,active,1400.0,5.853871964321762
CHEMBL2260540,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccc(Br)cc2)s1,inactive,68000.0,4.167491087293763
CHEMBL2260539,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccc(Cl)cc2)s1,inactive,60000.0,4.221848749616356
CHEMBL2260541,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccc(F)cc2)s1,inactive,50000.0,4.301029995663981
CHEMBL2260537,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccc([N+](=O)[O-])cc2)s1,inactive,68000.0,4.167491087293763
CHEMBL2260536,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2cccc([N+](=O)[O-])c2)s1,inactive,78000.0,4.107905397309519
CHEMBL2260548,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccccc2)s1,inactive,80000.0,4.096910013008056
CHEMBL2260542,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccccc2Cl)s1,inactive,62000.0,4.207608310501746
CHEMBL2260535,O=C(CC1SC(=O)NC1=O)Nc1nnc(-c2ccccc2[N+](=O)[O-])s1,inactive,72000.0,4.142667503568732
CHEMBL2260538,O=C(CC1SC(=O)NC1=O)Nc1nnc(C(F)(F)F)s1,inactive,60000.0,4.221848749616356
CHEMBL3098842,O=C(CN1C(=O)CSC1=O)c1ccc(Br)cc1,inactive,22700.0,4.6439741428068775
CHEMBL3098841,O=C(CN1C(=O)CSC1=O)c1ccc(Cl)cc1,inactive,100000.0,4.0
CHEMBL1305855,O=C(CN1C(=O)CSC1=O)c1ccccc1,inactive,14100.0,4.85078088734462
CHEMBL3792993,O=C(NN1C(=O)CS[C@@H]1c1ccc(Cl)cc1)c1cnccn1,inactive,298696.4885240809,3.524769882931791
CHEMBL3793789,O=C(NN1C(=O)CS[C@@H]1c1ccc([N+](=O)[O-])cc1)c1cnccn1,inactive,289569.69942665193,3.538246884671983
CHEMBL4293818,O=C(O)CCN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,inactive,18730.0,4.727462222624762
CHEMBL2316322,O=C(O)CN1C(=O)/C(=C/C2=Cc3cc(Br)ccc3OC2)SC1=S,inactive,25000.0,4.6020599913279625
CHEMBL2062759,O=C(O)CN1C(=O)/C(=C/C2=Cc3ccccc3OC2)SC1=S,inactive,100000.0,4.0
CHEMBL4211412,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S,inactive,50000.0,4.301029995663981
CHEMBL4216605,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2F)SC1=S,active,9440.0,5.025028005701931
CHEMBL4202977,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,active,3400.0,5.468521082957745
CHEMBL4214462,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Cl)cc2)SC1=S,inactive,16180.0,4.791021482723746
CHEMBL4211169,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)c(F)c2)SC1=S,inactive,12360.0,4.907981529247203
CHEMBL4206525,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,inactive,50000.0,4.301029995663981
CHEMBL4206804,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2F)SC1=S,inactive,22550.0,4.64685345378602
CHEMBL4210895,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc([N+](=O)[O-])cc2)SC1=S,active,3940.0,5.404503778174425
